City,Date,Time,Temperature (°C),Weather,Humidity (%),Pressure (hPa),Wind Speed (m/s),Cloudiness (%)
Tokyo,2025-05-31,07:49:48,15.88,light intensity shower rain,92,999,9.77,75
Los Angeles,2025-05-31,07:53:53,20.26,clear sky,80,1013,6.69,0
Muscat,2025-05-31,08:55:50,38.89,few clouds,33,1001,1.04,17
London,2025-05-31,08:56:46,15.75,overcast clouds,86,1018,2.06,96
Paris,2025-05-31,09:00:05,16.91,clear sky,87,1018,2.57,0
Riyadh,2025-05-31,09:00:02,32.03,broken clouds,11,1011,4.89,55
Dubai,2025-05-31,08:53:59,31.96,clear sky,58,1002,3.6,7
Tokyo,2025-05-31,08:50:59,16.23,light intensity shower rain,88,999,12.35,75
Los Angeles,2025-05-31,08:55:49,18.9,overcast clouds,84,1014,4.63,100
Muscat,2025-05-31,10:00:12,40.25,few clouds,27,1001,2.39,15
London,2025-05-31,09:53:41,16.61,overcast clouds,84,1018,2.57,97
Paris,2025-05-31,09:57:33,19.28,broken clouds,76,1018,2.57,75
Riyadh,2025-05-31,09:56:20,33.52,scattered clouds,9,1010,5.33,47
Dubai,2025-05-31,09:47:13,35.96,clear sky,46,1002,3.6,7
Tokyo,2025-05-31,09:56:59,15.74,light intensity shower rain,87,998,12.35,75
Los Angeles,2025-05-31,09:53:05,17.39,overcast clouds,88,1014,4.63,100
Muscat,2025-05-31,11:00:06,40.81,scattered clouds,21,1001,3.91,34
London,2025-05-31,10:49:58,17.12,overcast clouds,82,1018,2.57,100
Paris,2025-05-31,10:56:56,20.03,light rain,76,1018,2.06,0
Riyadh,2025-05-31,10:59:30,34.69,clear sky,8,1010,5.33,6
Dubai,2025-05-31,10:53:51,37.96,clear sky,41,1002,3.09,5
Tokyo,2025-05-31,10:56:14,16.37,mist,84,997,13.38,75
Los Angeles,2025-05-31,10:53:48,17.41,broken clouds,89,1014,2.57,75
Muscat,2025-05-31,11:57:50,40.96,scattered clouds,21,1001,4.82,32
London,2025-05-31,11:56:02,18.77,scattered clouds,77,1017,2.57,40
Paris,2025-05-31,11:56:58,21.27,light rain,75,1018,2.57,0
Riyadh,2025-05-31,11:56:43,36.75,clear sky,7,1010,4.7,8
Dubai,2025-05-31,11:52:18,38.96,clear sky,35,1002,5.14,0
Tokyo,2025-05-31,11:47:55,16.26,broken clouds,84,997,11.83,75
Los Angeles,2025-05-31,11:55:56,17.15,overcast clouds,89,1014,2.06,100
Muscat,2025-05-31,12:58:43,40.47,scattered clouds,24,1000,5.47,26
London,2025-05-31,12:52:53,20.91,overcast clouds,70,1017,2.24,100
Paris,2025-05-31,12:57:05,22.01,overcast clouds,77,1018,2.57,100
Riyadh,2025-05-31,12:54:07,37.82,few clouds,7,1009,3.26,18
Dubai,2025-05-31,12:56:14,37.96,clear sky,41,1002,5.14,0
Tokyo,2025-05-31,12:57:02,15.92,light intensity shower rain,83,997,10.8,75
